,RApArcmin,pz1_act_dr6_fiducial,pz1_act_dr6_fiducial_err,pz1_act_dr6_Beta_1.2,pz1_act_dr6_Beta_1.2_err,pz1_act_dr6_Beta_1.4,pz1_act_dr6_Beta_1.4_err,pz1_act_dr6_Beta_1.6,pz1_act_dr6_Beta_1.6_err,pz2_act_dr6_fiducial,pz2_act_dr6_fiducial_err,pz2_act_dr6_Beta_1.2,pz2_act_dr6_Beta_1.2_err,pz2_act_dr6_Beta_1.4,pz2_act_dr6_Beta_1.4_err,pz2_act_dr6_Beta_1.6,pz2_act_dr6_Beta_1.6_err,pz3_act_dr6_fiducial,pz3_act_dr6_fiducial_err,pz3_act_dr6_Beta_1.2,pz3_act_dr6_Beta_1.2_err,pz3_act_dr6_Beta_1.4,pz3_act_dr6_Beta_1.4_err,pz3_act_dr6_Beta_1.6,pz3_act_dr6_Beta_1.6_err,pz4_act_dr6_fiducial,pz4_act_dr6_fiducial_err,pz4_act_dr6_Beta_1.2,pz4_act_dr6_Beta_1.2_err,pz4_act_dr6_Beta_1.4,pz4_act_dr6_Beta_1.4_err,pz4_act_dr6_Beta_1.6,pz4_act_dr6_Beta_1.6_err
0,1.0,-1.2568112399101507e-07,1.0784561560641571e-08,-9.562043164491829e-08,7.82694109962337e-08,-6.81128383800838e-08,6.727897926824924e-08,-5.1086796149792497e-08,5.9554864863953234e-08,-8.417335618520413e-08,7.953484563378933e-09,-4.585045415551514e-08,5.765868674218036e-08,-2.366895533771735e-08,4.9565384255941584e-08,-1.0007416278129514e-08,4.387761293099441e-08,-4.8112039123258325e-08,7.552844367309308e-09,-4.7401462881272676e-08,5.470209824647362e-08,-1.5941615793662848e-08,4.7019961348539894e-08,3.8367902681849305e-09,4.162145159002943e-08,-2.709278558350656e-08,7.86844449115097e-09,7.053842386787998e-08,5.7146753582605487e-08,8.416298845189019e-08,4.911927525874053e-08,9.161744699183428e-08,4.3477446615911626e-08
1,1.625,4.7163534086586654e-08,2.6154781666660247e-08,-5.713028208798029e-08,1.1733228316311921e-07,3.8512593100671316e-08,9.921867501511428e-08,9.760986443652637e-08,8.676002993611623e-08,3.3343390033930666e-08,1.9306330029393417e-08,1.1610434802771007e-07,8.678430368632857e-08,1.8449161160666784e-07,7.338879074539561e-08,2.254498181012345e-07,6.417581017489465e-08,1.542691782054129e-07,1.830569146937233e-08,-1.550696077251787e-08,8.231845823189456e-08,9.837209207762621e-08,6.960872422451428e-08,1.7038636832397362e-07,6.086669490312785e-08,1.2571964804685742e-07,1.9050343010973602e-08,-1.3714085615571963e-07,8.58812318341196e-08,-2.1462167685446518e-08,7.262019873360756e-08,5.266236026238495e-08,6.34982105281326e-08
2,2.25,5.761740755007915e-07,4.422218577446044e-08,3.5961732645441446e-07,1.8724666073029015e-07,5.159396921449138e-07,1.6021759116402434e-07,6.130975449796041e-07,1.4156026777752425e-07,5.271033846445332e-07,3.269894462666751e-08,2.5415946775225226e-07,1.382324019034359e-07,4.1291274936213854e-07,1.1828956722182652e-07,5.131206907021905e-07,1.0452279683029682e-07,6.512655495398311e-07,3.091703727018067e-08,2.971967094186098e-07,1.311707938988493e-07,4.7141150806950676e-07,1.1223693886020843e-07,5.817732877957291e-07,9.916574844597328e-08,5.090329861008736e-07,3.21744870703593e-08,5.730700002576255e-08,1.3693592198293275e-07,2.3513292863460875e-07,1.171681170379697e-07,3.482816714934591e-07,1.0351918059793375e-07
3,2.875,1.2413855437883698e-06,7.315888288284583e-08,7.618733187673249e-07,2.48285755520406e-07,1.0030277734982667e-06,2.1551033840287561e-07,1.1539624947867236e-06,1.9293795899592616e-07,1.131382054784123e-06,5.3998065377798515e-08,1.2420006946379464e-07,1.838928751565076e-07,4.403926385026042e-07,1.59607400136888e-07,6.459303547770979e-07,1.4288054101075853e-07,1.2280586989710435e-06,5.113540160638305e-08,6.12557234542535e-07,1.7411175176768943e-07,8.66017263888529e-07,1.5111049888183495e-07,1.0256159551512624e-06,1.3527154436608122e-07,1.0675053731803166e-06,5.324234840291116e-08,8.860931343108966e-07,1.8184637611564068e-07,1.074277542449501e-06,1.5779649828499437e-07,1.1868170990412004e-06,1.4122880801750994e-07
4,3.5,1.9756973390077374e-06,1.0849601828035718e-07,1.3362774601270916e-06,2.688959076244951e-07,1.615335256815791e-06,2.3702454791625747e-07,1.7884564211508986e-06,2.1578857630011735e-07,1.719984813750174e-06,7.987653111522645e-08,8.187554872110185e-07,1.9823112213391029e-07,1.1389824556069948e-06,1.7470439123137106e-07,1.34324555037216e-06,1.5902776226190055e-07,1.8099032998901063e-06,7.585112471377477e-08,9.809034146937103e-07,1.8837942735050463e-07,1.2896906453894627e-06,1.6596513223709473e-07,1.4796910992722506e-06,1.510253139466849e-07,1.542121972701031e-06,7.899296552078651e-08,6.882782215601052e-07,1.9637369415894656e-07,1.0027837347274482e-06,1.730263523025528e-07,1.1957128711467235e-06,1.5745726179436986e-07
5,4.125,2.6661994708613037e-06,1.532238058857085e-07,1.96815767913995e-06,3.306866856909774e-07,2.266987997005483e-06,2.981439527687803e-07,2.450371959161882e-06,2.7691198757296534e-07,2.282543455771175e-06,1.1280423485458518e-07,1.949766038588931e-06,2.4389098372005886e-07,2.186779394966619e-06,2.1985612140114683e-07,2.329361644832785e-06,2.0416586692472127e-07,2.414785518033186e-06,1.0711327385075799e-07,1.7694795811672402e-06,2.3156982346506486e-07,2.0557358573983537e-06,2.087463634122496e-07,2.2186178978223977e-06,1.9384915030445225e-07,1.9451931842619304e-06,1.1148310021376977e-07,1.3025574563257029e-06,2.4121867864199767e-07,1.6023655773080452e-06,2.1738754554740405e-07,1.7727356213057526e-06,2.0182699328456784e-07
6,4.75,3.1770731374394567e-06,1.9766146970933993e-07,2.5092521046385864e-06,3.6897482952634124e-07,2.8226782432919863e-06,3.456983128111181e-07,3.010924533181244e-06,3.302784655831431e-07,2.665594527846135e-06,1.455841183499103e-07,2.3315483627665054e-06,2.722302644988858e-07,2.584478673087332e-06,2.550798114045631e-07,2.7332032209632367e-06,2.4371052402766955e-07,2.8898578298789156e-06,1.3822505467207053e-07,2.617261481875764e-06,2.5894106351092154e-07,2.8553100384806423e-06,2.425422240229141e-07,2.9686540661520455e-06,2.3167392099972833e-07,2.3746401732913086e-06,1.440391853773412e-07,2.5063421736374986e-06,2.6902657631818977e-07,2.7199132077673887e-06,2.5203442002365017e-07,2.8128128124943956e-06,2.407773962098342e-07
7,5.375,3.6302519728099e-06,2.467497353253435e-07,3.410752105313787e-06,4.4710608465631005e-07,3.683569111691468e-06,4.3018611878163244e-07,3.83439504581341e-06,4.174002921278916e-07,2.990297063498159e-06,1.8196490780507076e-07,2.818226614341822e-06,3.3107522832810136e-07,3.0819698451549563e-06,3.184921113568993e-07,3.2300415656200416e-06,3.089768533687446e-07,3.321032920635075e-06,1.7282004819623106e-07,3.7675916999844617e-06,3.141489127147302e-07,3.95558154751372e-06,3.02151030693968e-07,4.009226516160333e-06,2.930864920684019e-07,2.825856704599577e-06,1.8014874300325954e-07,3.3282954464378506e-06,3.2731510246996883e-07,3.552656568585339e-06,3.1485850774047354e-07,3.6288606379604637e-06,3.054244489908363e-07
8,6.0,3.892905164790332e-06,2.9071637122516e-07,4.388226258232631e-06,5.399074421847714e-07,4.619117808275508e-06,5.262584863880943e-07,4.727329982045362e-06,5.13262570621612e-07,3.2601589561453114e-06,2.1463103957809556e-07,3.6270259531746647e-06,3.9985838980844717e-07,3.870927323554753e-06,3.897545617271194e-07,3.993306171536246e-06,3.801258508392108e-07,3.7440312125484058e-06,2.0406108977115645e-07,4.692147864561006e-06,3.792598335477058e-07,4.8956781988128944e-06,3.696321709545276e-07,4.93151170082599e-06,3.604676521655452e-07,3.1773532268766632e-06,2.1265588272315088e-07,4.102200055593837e-06,3.959453809514695e-07,4.354693060502338e-06,3.858789592624894e-07,4.4231056723197264e-06,3.7624636899618164e-07
