,radii,DESI_pz1_act_dr5_f90_ringring2,DESI_pz1_act_dr5_f90_ringring2_err,DESI_pz1_act_dr5_f150_ringring2,DESI_pz1_act_dr5_f150_ringring2_err,DESI_pz2_act_dr5_f90_ringring2,DESI_pz2_act_dr5_f90_ringring2_err,DESI_pz2_act_dr5_f150_ringring2,DESI_pz2_act_dr5_f150_ringring2_err,DESI_pz3_act_dr5_f90_ringring2,DESI_pz3_act_dr5_f90_ringring2_err,DESI_pz3_act_dr5_f150_ringring2,DESI_pz3_act_dr5_f150_ringring2_err,DESI_pz4_act_dr5_f90_ringring2,DESI_pz4_act_dr5_f90_ringring2_err,DESI_pz4_act_dr5_f150_ringring2,DESI_pz4_act_dr5_f150_ringring2_err
0,2.0,2.0715787790965395e-07,2.6884618373148337e-08,3.141994094929956e-07,4.9546116956860235e-08,2.575984377234772e-07,1.9762328400927833e-08,1.8570452165446982e-07,3.6619461772344034e-08,2.0301456445944552e-07,1.8663873901492686e-08,2.9650108857971964e-07,3.6308333296202406e-08,1.9925361977604514e-07,1.96410672385945e-08,2.707028074830897e-07,3.789571580531505e-08
1,2.5,6.652013620704052e-07,4.2826292232911015e-08,7.194404539307892e-07,8.06320199346965e-08,5.679886010868883e-07,3.163673323154191e-08,5.351922528707466e-07,5.96943715785776e-08,4.999133854655037e-07,2.984668246384896e-08,5.318253828970619e-07,6.101101204018423e-08,3.92026153081033e-07,3.1064544618224686e-08,4.229624427490074e-07,6.450468286800503e-08
2,3.0,1.058890852621757e-06,6.802705269834523e-08,1.1829757413790326e-06,1.3136057785470133e-07,8.911809546570392e-07,4.9788471284646094e-08,9.313117393594163e-07,9.708368138129232e-08,8.097537104385303e-07,4.67112363026796e-08,8.288319926105451e-07,9.982090749916891e-08,6.833324375382308e-07,4.9114109979132034e-08,6.42211237768632e-07,1.05846434450221e-07
3,3.5,1.5016415598834658e-06,1.0866590288565239e-07,1.7458035977059877e-06,2.112222181582561e-07,1.2758371993502742e-06,7.926738279287209e-08,1.3954358815899807e-06,1.5767773599607526e-07,1.1574037095513773e-06,7.518674918621217e-08,1.105259192657499e-06,1.6226399343247054e-07,9.274405465724592e-07,7.8189131846874e-08,8.640142694154764e-07,1.7288972853997257e-07
4,4.0,2.0261345165089057e-06,1.6100867716509615e-07,2.306384691422446e-06,3.16266631331512e-07,1.652130107894937e-06,1.1810724549278426e-07,1.8278332919534805e-06,2.3557842486161904e-07,1.458849624117894e-06,1.1295129950128221e-07,1.4313663043232415e-06,2.424643053338273e-07,1.1713255624234437e-06,1.1712590336687746e-07,1.0167983572018749e-06,2.5872188483012096e-07
5,4.5,2.5098411551495157e-06,2.3165551288568753e-07,2.8348138543566873e-06,4.550846354108749e-07,2.0201323106777416e-06,1.7032085010446165e-07,2.2208341225875405e-06,3.374730421604612e-07,1.668342220437796e-06,1.6267683137548795e-07,1.69112860963053e-06,3.4602837876021744e-07,1.5071719906070998e-06,1.689480184563684e-07,1.0598461921477173e-06,3.7033279935663623e-07
6,5.0,2.9597370768100164e-06,3.192470596545836e-07,3.2285432905727436e-06,6.234069067925317e-07,2.450197591189232e-06,2.3522046478090387e-07,2.5295823457321606e-06,4.6027405181057094e-07,1.8446800428134245e-06,2.2344430602848214e-07,1.8224944837038695e-06,4.7401020221073945e-07,1.823498484792371e-06,2.3214337246491708e-07,1.2206092328563182e-06,5.033545846113024e-07
7,5.5,3.2357693802716374e-06,4.282664966386052e-07,3.412430354506823e-06,8.320351421901884e-07,2.8819285999745834e-06,3.157264249257742e-07,2.9709793558114196e-06,6.158060288666553e-07,2.081375618846178e-06,2.9896593572805415e-07,1.8456282383826155e-06,6.313605907990038e-07,2.0487177917461596e-06,3.1234192603214024e-07,1.293413215512406e-06,6.674040550849349e-07
8,6.0,3.56024431810851e-06,5.512865137275404e-07,3.511407027738417e-06,1.0681927626641998e-06,3.3179821781879555e-06,4.0775476222830804e-07,3.4555495342478127e-06,7.935850333316165e-07,2.263090577282301e-06,3.8550125797038536e-07,1.8562474598786195e-06,8.095435087203243e-07,2.3003237633286773e-06,4.027323960696024e-07,1.4556927863031541e-06,8.546856590472676e-07
